,会社名,仕事内容,対象となる方,勤務地,給与,初年度年収
290,株式会社Y’S GARAGE | 完全週休2日残業月10h／住宅手当支給でU・Iターン歓迎／未経験OK,【県下最大級！島根・出雲市内に6月オープン】【希望によっては京都勤務も選べる】【完全反響型＆ノルマなし】各種車の提案販売～アフターフォロー,【住宅手当支給でU・Iターン歓迎】【原則転勤なし島根・出雲市内or京都府内】【未経験歓迎】35歳までの方なら営業や自動車業界の経験は一切不問,【原則転勤なし】【マイカー＆バイク通勤OK】 島根県出雲市（※2021年6月末オープン予定） また…,月給25万円以上+月次達成手当+賞与年2回 ※経験やスキルを考慮して基本給を決定いたします。 ※固定残業…,350万円～600万円
291,株式会社東名 | 2020年7月に東証・名証一部に上場しました！,■お客さまのニーズに合わせた当社のサービスを提供し、中小企業を支えます！＜内勤営業・コールセンター営業＞【20代～30代の若手が多数活躍中！】,★人物重視の採用です！【学歴・年齢不問／職種・業種未経験OK／第二新卒歓迎】■基本的なPCスキルをお持ちの方｜接客・サービス業の経験が活かせる！,★札幌・広島・福岡での募集になります。 【札幌コールセンタ】 北海道札幌市中央区北三条西二丁目2番…,"■月給27万円以上＋各種手当＋インセンティブ （上記には固定残業35時間／70,000円以上を含む） ※経験…",
292,株式会社アクト | ＼賞与は4～5ヶ月分を支給／残業は月平均10時間ほどです,＜現場は滋賀県なので毎日家に帰れます＞道路や河川の工事のスケジュール管理を担当します。作業を行う職人さんも社内にいるので連携がスムーズです！,＜資格取得支援制度も充実＞◆手に職をつけたい方 ◆プライベートも大切にしたい方 ◆CAD操作スキルや積算の経験をお持ちの方は、なお歓迎します。,＜転勤なし／滋賀に根付いて働けます＞ 滋賀県大津市神領三丁目5番13号 ※マイカー通勤OK（社用車…,【未経験】 月給25万円以上 【経験者】 月給35万円以上 ★前職給与を保障します！ ※年齢・経験・スキ…,350万円～500万円
293,株式会社ARS | 連続売上UP!業界高水準の給与!/選べる賞与年4回orインセンティブ,《20代後半～30代前半活躍中》くらしのトラブルを解決する修理サポートを行います！手厚い研修後、現場では先輩がしっかりレクチャーします。,《未経験から手に職をつける》◆学歴・経験・資格一切不問 ◆要普免(AT限定可)機械いじりや何かを組立てることが好きな方にピッタリ！,【東京都・大阪府・愛知県・京都府・兵庫県・広島県・福岡県・宮城県・北海道で同時募集中】 【勤務地】…,"月給：220,000円〜500,000円 ※年齢・経験・能力を考慮し決定します。 ※上記には37時間分の固定残業代(5…",400万円～600万円
294,株式会社近畿サービス | 創業63年の安定基盤／エコ事業を展開／大阪府緊急雇用対策に賛同,＼昼前終了の仕事です！未経験スタートの先輩が多数活躍中／ ★リサイクル品・産廃物などの運搬を担当するドライバー業務をお任せします※大阪市内,未経験・第二新卒者歓迎！20代・30代から定年退職をして再雇用のスタッフも活躍中◎学歴不問 <入社後の取得も相談OK⇒中型免許が業務に必要です>,☆★ 転勤なし／U・Iターン歓迎 ★☆ （車・バイク・自転車通勤OK） ■本社／大阪府大阪市西淀川…,月給：26万円〜＋諸手当（運転手当・早朝手当 等）+賞与（年2回） 同じドライバーでも、希望は十人十色…,350万円～450万円
295,ロビンスジャパン株式会社 | SUUMO 関東 注文住宅・工務店ランキング2016～2020年第1位,＜完全反響営業＞ショールームにお越しになるお客様の対応をお任せします。,■学歴・年齢不問　■未経験・第二新卒歓迎　■住宅営業の経験者は優遇します。,川口市・江戸川区・土浦市・八千代市・杉並区・羽村市・厚木市 川口スタジオ／埼玉県川口市戸塚東3-1…,月給30万〜50万円+歩合 ※経験・能力に応じて優遇します。 未経験者／月給23万〜32万円,450万円～700万円
296,株式会社ケーシーエス・エス | 大阪府内を中心とした近距離のみ／【大阪府緊急雇用対策に賛同】,【固定給＋インセンティブの安定収入】大阪エリアを中心に、建設現場から出る産業廃棄物の回収・運搬を担当。4tトラックなど運転できる車は様々です,【ジャンルを問わず、何らかの配送経験をお持ちの方は優遇】◆要中免（8t限定解除の普免でも可）◎意欲ある方なら未経験でも歓迎いたします,【マイカー通勤OK（駐車場有）／原則転勤なし】岸和田・和泉・堺いずれかの勤務先となります ◆大阪府…,◆月給21万円以上+インセンティブ+残業手当+各種手当 ※2年目の平均月収は40万円。5〜6年目で年収600万円…,300万円～480万円
297,株式会社北浦板金 | 大阪府緊急雇用対策に賛同｜賞与年2回＋決算賞与(業績による),《教育体制はバッチリ！知識ゼロからスタート♪》新築物件・リフォームなどの屋根工事、屋根のリフォーム・ふき替え工事など、建築板金作業をお任せ,《未経験&正社員デビューも大歓迎♪経歴・学歴は一切不問の意欲・人柄重視採用です！》◆要普免　※経験者・資格保有者は優遇します,★転勤なし ★マイカー&自転車通勤等もOK（駐車場完備） 大阪府八尾市太田新町2-6 ※「八尾南駅…,月給30万円以上 ※経験・能力に応じて考慮します ※試用期間3ヶ月あり（期間中は月給25万円以上）,
298,株式会社LIV | 大手芸能プロダクションと提携！応募～内定まで1週間以内！,【芸能プロモーション事業のスターティングメンバー】新人タレントの発掘、タレントの育成、営業、マネジメント・キャスティング業務などを担当！,【未経験・第二新卒歓迎／20代中心に活躍中】「エンタメ業界に挑戦したい」「コミュ力には自信がある」「営業経験を活かしたい」…そんな方を歓迎！,★転勤なし！ ★東京・大阪で募集中！ 東京オフィス 東京都渋谷区神宮前3-21-8 T.S.原宿第…,月給22万円〜30万円 + インセンティブ（7万円〜15万円／1案件） ※経験・年齢・スキル・前職の給与額を …,300万円～700万円
299,株式会社ケーシーエス | 完全週休2日or週休2日で働き方を選べる／普通免許があれば応募OK,【希望次第で週休3日もOK！】ドライバー・メンテナンス業務などを幅広くお任せします。☆運行管理・配車担当・営業などジョブチェンジも可能！,【未経験・第二新卒歓迎】◆学歴・年齢・経験は一切不問。フリーターからの挑戦も大歓迎！ ＼必要なのは、普通免許だけ!!／ ※中型免許保有者は尚歓迎,【転勤なし／マイカー通勤OK！】 本社：大阪府岸和田市岸の丘町二丁目2番15号 （車両駐車場：大阪…,"■月給18万円〜25万7,000円＋諸手当＋賞与年2回 ※残業代100％支給 ★月収45万円以上の社員もいます！ …",
300,株式会社SAMURAI | ■賞与支給実績は年3回 ■営業ノルマなし ■堅苦しくない店舗,中古車の販売や買取など店舗運営業務をお任せします。★半年後には自身を持って営業デビューできるよう、ベテランの先輩が丁寧に仕事を教えます！,"【未経験歓迎！""興味がある""レベルからでOK】◆高卒以上 ◆要普免(AT限定不可) ★中古車査定士や販売士、自動車保険資格などの取得は会社が全額負担！",京都府宇治市槙島町落合224-1 →近鉄【向島】駅から徒歩4分 ※マイカー通勤可（駐車場負担なし）,月給20万円〜50万円 ※経験・年齢・スキルを考慮の上、優遇致します。 【年収例】 未経験入社1年目:年収…,
301,株式会社エム・シー・ピー | ★年齢不問★連続休暇取得も可★資格取得支援有★20～50代活躍中,＜抜群の教育体制／残業月20h以内＞マンションの大規模修繕・改修・リフォームの施工管理をお任せ。高水準の給与体系でお迎えします！,＜年齢・学歴不問／未経験スタートも大歓迎！＞★建築施工管理経験をお持ちの方は経験者として優遇します！(年数不問) ☆しっかり稼ぎたい方も歓迎！,＜転勤なし／恵比寿駅徒歩2分の好立地♪＞ ■本社／東京都渋谷区恵比寿西1-14-4 シティホームズ…,【未経験者】月給28〜45万円 【経験者】月給35〜50万円 ※経験や前職の給与を考慮の上、決定いたします …,450万円～850万円
302,株式会社関塾 | 完全個別指導塾「Dr.関塾」を運営／月給30万（試用期間25万円）,完全個別指導塾「Dr.関塾」のフランチャイズ加盟の説明と開校までのコンサルティングをお任せ。※お客様へのテレアポは専任のスタッフが担当します,【年齢不問・教育業界の経験は問いません！】◎何らかの営業経験をお持ちの方 ◎学歴不問 ◎普通自動車免許（AT限定OK）をお持ちの方,★東京もしくは大阪で募集します 東京オフィス／東京都千代田区九段北1-2-3 フナトビル ＜アクセ…,月給30万円スタート＋賞与年2回＋業績に応じたインセンティブあり ※経験、能力を考慮の上、優遇します …,400万円～500万円
303,株式会社コンセプト | 競馬関連のプロモーションを担う制作会社 ◎WEB面接1回のみ！,新聞広告やDMなどの制作をおまかせ！希望に応じてライティング・デザインなど担当を決めます。★ゆくゆくは企画～ディレクションと幅広く挑戦可能！,《男性活躍中！未経験者歓迎》基本PCスキル必須/Word、illustrator使える方優遇/”稼ぎたい”という意欲を歓迎　☆昼食代支給 ☆2週間の長期休暇あり,＜交通費全額支給／転勤なし！／閑静な立地☆＞ 東京都渋谷区松濤1-28-6 【アクセス】 JR・地…,月給：30万円以上+お昼代支給あり！＋昇給賞与 ※経験・能力を考慮し当社規定により決定します ※交通費…,360万円～450万円
304,日本コンセントリクス株式会社 | 最短半年で正社員も目指せる・年間休日121日・残業月平均8H以内,【4週間の在宅研修あり＆専門知識は先輩がサポート】スマホやタブレット製品を利用されるお客様へマニュアルを見ながら操作や修理のご案内をします。,【学歴不問！未経験歓迎・第二新卒も積極採用中！】★PC操作ができればOK！★お客様と気持ちよくコミュニケーションができればOKです！,★転勤なし ★東京本社での勤務となります。（新型コロナウイルス感染拡大防止の観点から当面は在宅勤務…,月給／27万6700円〜 + シフト手当 + 残業手当 【想定月収：30万円〜】 ※試用（研修）期間1〜2ヵ月あり…,340万円～380万円
305,株式会社マリーロード | 《ラシュレディアコート》◆残業少なめ／賞与年2回／週休二日,【未経験歓迎／研修あり】新規にご来館されたお客様に館内のご案内や挙式・披露宴などのご提案を行い、お二人の門出をプロデュースします。,【年齢不問／未経験歓迎】■高卒以上・やる気のある方や少しでも興味のある方も歓迎です！多くの方にお会いしたいので、ぜひ積極的にご応募ください！,■運営する和歌山最新のハウスウェディング《ラシュレディアコート》に勤務 ◎マイカー通勤OK（駐車場…,■月給20万2600円〜23万4600円＋諸手当＋時間外手当（残業をした場合全額支給）＋賞与（年2回） ※経験…,
306,ソーシャルインクルー株式会社 | 今期も増収増益を更新◎将来性・安定性ともに業界トップクラス！,【20～30代活躍中】自社運営のグループホームにおけるスタッフ採用や労務業務／安心のOJTあり／働きやすい仕組みづくりにも携われる！★年間休日125日,【学歴不問／職種・業種未経験歓迎】◆35歳までの方◆基本的なPCスキルをお持ちの方(Word、Excelなど)★未経験スタートを応援！《人柄重視採用》,【本社】 東京都品川区南大井6-25-3 いちご大森ビル2F ★京浜東北線「大森駅」より徒歩3分！,月給30万円〜+各種手当 ◎経験・能力を考慮の上、決定します。 ※上記にはみなし残業代（45時間分／7万8…,360万円～600万円
307,株式会社エフテック | ★月給30万円以上！家族手当や住宅手当など待遇も充実！,【新工場のポテンシャルを高めるマネジメントに挑戦！高い技術を持つメンバーと共に活躍】大型車両を中心とした各種整備や業務・組織改善の企画提案,【大型車両の整備経験がなくてもOK！】整備士としての実務経験がある方／最新鋭工場で快適な環境の元、組織・制度作りに挑戦したい方にピッタリです！,【本社工場】 千葉県千葉市若葉区上泉町958-56,月給30万円〜45万円 ※経験・年齢・能力を考慮のうえ、決定致します。 ※試用期間3ヶ月(期間中の待遇に…,
308,イオングリーン電力株式会社 | ★平均月収80万円！隔週週休3日制★新拠点が続々とオープン,【 教育体制に自信あり 】◆当社のサービスに興味をお持ちの方に快適な住まいの為の商品やプランをご提案します。アポイントは専任スタッフが担当。,「稼ぎたい！今より良い生活がしたい」そんな熱意ある方を大歓迎！★学歴・年齢・経験 一切不問 ★普通免許(AT限定可) ★実力を正当に評価されたい方,転勤なし！愛知・岐阜・三重・静岡・広島の募集 ◆愛知支店 名古屋市中区丸の内2-16-3 丸の内A…,月給26万円〜67万円＋各種手当＋インセンティブ ※経験・年齢を考慮の上、優遇いたします。 ※試用期間2…,500万円～800万円
309,株式会社大通 | 全国の公営競技施設の電気工事を手掛ける会社 ★賞与最大150万円,＜大規模改修工事も手掛けています＞ ■公営競技場の電気・通信設備の設備保全（計画・設計・修繕等）★一次請け＆定修工事中心。現場の掛け持ちなし,＜年休110日！年収700万円も可＞ ◎電気工事の実務経験＆第2種電気工事士以上の有資格者（経験の浅い方も可）★年収例：30歳500万円／40歳700万円,＜転勤なし！＞ ＜直行直帰での勤務になります＞ ※現場は関東エリア一円 ★事務所自体は、下記の場所…,月給　30万円〜60万円＋諸手当 ※経験・年齢により優遇します。 ※試用期間３ヶ月あり （その期間は日給…,450万円～700万円
310,株式会社小山電機工事 | ★電話問合せOK(076-274-8004)★Max60万円の職長手当あり,照明やケーブルの配線工事などの大型施設案件の電気工事を担当します！《あなた専用の道具と社用車を用意》今までの経験・知識を活かして働けます！,【欲しい人材】電気工事の経験がある方！★第一種・第二種電気工事の資格をお持ちの方は資格手当が付きます「自分・家族のために稼ぎたい方 歓迎！」,【本社】石川県白山市上二口町239番地2 ★マイカー通勤可 ★対応エリアは石川県内！ 勤務地は本社…,月給30万円〜50万円 ＼前職給与考慮／ ※年齢・経験・能力を考慮のうえ、決定。 ※試用期間あり（最大3…,
311,株式会社リクルート北関東マーケティング | （RKM）【リクルートグループ】,「SUUMO」「ホットペッパー」など、リクルートグループ発行の各種メディアの企画提案営業を行います【完週休2日(土日)/フルフレックスタイム制採用】,【経験不問・実務未経験OK】◆短大・専門卒以上 ◆35歳未満の方 ★これまでの経験ではなく、これからの「成長意欲」を重視した採用を行います。,群馬(高崎/太田)・栃木(宇都宮)・茨城(水戸/つくば)・新潟(新潟)のいずれかの各拠点 ※将来的…,"月給23万9,470円以上 + 達成インセンティブ ★未経験でも高収入スタート！ --------------------------…",350万円～450万円
312,株式会社ユニヴィスコンサルティング | 土日祝休み・産休育休実績あり・転勤なし,【あなただからお任せしたい、そんな関係性を築きます】M&Aに関するご案内から導入後のフォローアップまで、一貫して顧客と携わっていただきます。,【第二新卒歓迎！平均年齢30歳のフレッシュな職場で活躍】●大卒以上●1年以上の営業経験●基本的なPC操作スキルがある方 ●誠実な対応ができる方,★転勤なし ★虎ノ門ヒルズ駅から徒歩2分の好立地！ 東京都港区虎ノ門3-8-8 NTT虎ノ門ビル6…,月給／28万円〜60万円 ※経験・能力など考慮の上、決定します ※残業代は時間に応じて別途支給します ※…,400万円～800万円
313,BICジャパン株式会社 | 土日祝休み・年休120日以上・残業月平均20時間以内,【人気の”BIC”ブランドで多彩な提案ができる！】ライターや文房具などの自社商品をコンビニ/ECサイト/問屋/OEMなど幅広いチャネルで提案できます,【前職での待遇もしっかり考慮！】 ◆四大卒以上 ◆消費財メーカーでの営業経験（目安：3年以上） ◆基本的なPCスキル（Word/Excel/PowerPoint）,★転勤なし 東京都中央区日本橋大伝馬町6-8 PMO日本橋大伝馬町2階,月給／32万円〜50万円 + 賞与 + インセンティブ（年4回） ※経験・能力・スキル等を考慮し決定します。 …,450万円～700万円
314,株式会社エーライド | SNS、動画、広告等の幅広い商材を使い採用を支援！未経験歓迎★,【採用プランナー】どんな時代でも必要とされる人財へ　◎未経験歓迎◎年間休日127日◎人物重視の採用,学歴不問 ＜業種・職種未経験、第二新卒、歓迎します＞,【本社】 愛知県名古屋市中区東桜2丁目22-18 日興ビルヂング 2F ※転勤はありません。,■月給23万円〜35万円＋インセンティブ ※45時間分・5万4225円〜7万円のみなし残業手当含む（超過分は別…,
315,株式会社ワイズ高橋 | 設立約20年の安定企業！海外報奨旅行・退職金などの制度あり！,【業務調整ができるようになれば土日休みも可！】●高級輸入車の営業、もしくは買取をお任せします。＊営業や接客の本来の楽しさが味わえる環境！,【20～30代中心に活躍中／営業・業界未経験者が9割】◆要普免 ＊稼ぎたい人も、そうでない人も、どんなタイプも歓迎です！《営業経験者は優遇》,【埼玉県和光市・三郷市のいずれか】＊最寄駅から徒歩通勤可！ -------------------…,月給25万円以上＋歩合給 (営業経験者は毎月+5万円の手当支給！) ※試用期間3〜6ヵ月あり(期間中、待遇に…,
316,日本コンセントリクス株式会社 | 【100％在宅勤務】月給25.2万円～・年休121日・残業月平均8H以内,【オンライン研修でノウハウやマニュアルも全てレクチャー！】スマホやタブレット製品を利用されるお客様へ操作方法などをご案内（受電のみ）します。,【年齢不問・未経験/第2新卒歓迎】●基本的なPC操作スキル（中級程度のタイピングや検索・操作が可能な方）★正社員を目指してキャリアアップも可能★,★転勤なし ★完全在宅勤務（フルリモート）のワークスタイルであなたの好きなエリアやお住まいの場所で…,【東京23区内で勤務する方】月給28.7万円〜 【東京23区外で勤務する方】月給25.2万円〜 ※経験・能力・…,300万円～400万円
317,有限会社ヤマテック | 関西エリアの幅広い電気工事に対応／賞与は最大年100万円も可能,【平日・日中工事が中心！】3～4名程度のチームで、大手企業の工場などの電気設備工事を担当します。 ☆案件によっては早上がりもアリ！,【未経験・第二新卒・初めての正社員という方も歓迎！】《応募条件》⇒要普通免許（AT限定可）だけでまずはOK！ ※会社負担で、資格取得も目指せる！,【転勤なし／U・Iターン歓迎！】 ★マイカー・バイク通勤は応相談！ 大阪府守口市大久保町3-36-…,"月給195,000円〜340,000円 + 諸手当 + 賞与年2回 ※年齢・経験・スキルを十分考慮の上、当社規定により…",
318,nts株式会社 | 大手各社と安定取引＆案件増を継続中◎,自社サービス「建築事前ご案内サービス」のご提供に伴う書類作成や周辺住民へのご案内・広報をお任せ♪　★外勤・内勤作業の割合は3：7,【性別不問／未経験・第二新卒歓迎】◆応募条件／大卒以上、基本的なビジネスマナー＆PC操作がわかる方　★20～30代活躍中！意欲人柄重視の採用です♪,【駅チカ★「新橋」駅　徒歩8分】 中央区銀座8-15-6 ※転勤なし,月給35〜45万円+賞与年2回 ※経験・能力を考慮の上、決定 試用期間3ヶ月：同条件,400万円～600万円
319,タウンクロス株式会社 | 賞与5～6か月支給実績あり！★12年連続増収増益の安定基盤★,【 お客様の要望を反映したオリジナルの防犯システムが好評！ 】◇ご依頼があった商業施設やオフィスビルの防犯システムの設置工事をお任せします。,■未経験大歓迎！防犯機器って？という方でもOK！　◇次世代を担ってくれる人材に期待！電気や通信に関する知識・スキルが身につきます。,【 勤務地限定！転勤はありません！ 】 関東営業所／埼玉県八潮市大瀬5-15-18 ※社用車を貸与…,月給25万円 〜 35万円　＋　諸手当 ※経験・年齢を考慮の上、当社規定により優遇します。,350万円～450万円
320,株式会社大黒屋 | #大阪府緊急雇用対策に賛同#経験者は収入で優遇#整った労務環境,【最初はしっかり研修します！】◆大型・中型ダンプを運転頂き、工事現場へ重機の運搬や建築資材の配送・回収をお任せします◎働きやすい環境で成長！,【人物・人柄重視の採用です】◆要中免（8t限定解除の普免でも可）◎意欲ある方を歓迎いたします※大型免許をお持ちの方は優遇します,【転勤なし】◆大阪府八尾市南亀井町5-2-26 ※JR『久宝寺』駅、谷町線『長原』駅から自転車で約…,"◆月給：28万6,000円〜37万4,000円 ※経験・スキルに応じて優遇します ※試用期間3ヶ月（月給28万6,000円）",350万円～450万円
321,株式会社司興業 | 官庁（県・市橋梁補修含む）、民間（開発工事・鉄道土木ほか）,【現場は京阪神エリア／出張なし】◆公共工事や鉄道の維持管理補修工事における設計と施工管理をお任せします,【経験の浅い方～ベテランまで歓迎】◆普通免許 ◆土木施工管理技士2級以上で、土木関連工事経験3年以上の方 ※面接時には交通費を支給(条件あり),本社／兵庫県宝塚市美座2-15-15 ※転勤はありません ※マイカー通勤可能です（無料駐車場あり）…,月給：35万円〜70万円 ※年齢、経験、能力を考慮の上、優遇いたします ※上記には固定残業手当（45時間分…,
322,株式会社ヴェス | 市場規模は約5兆円◎累計1万件超の実績【第三者検証の専門企業】,【有資格者数業界TOPクラス！】第三者の立場で、大手企業の製品やシステムの品質評価・検証業務。テスト設計やリーダー・プロジェクト管理をお任せ！,【学歴・年齢不問】未経験OK！テスト設計またはテストリーダー経験者、何かしらの開発経験者歓迎／テストリーダー以上の経験者は優遇★Web面接実施中,◆東京本社及び東京都、神奈川、岩手の各プロジェクト先 【東京本社】 東京都新宿区四谷2-11-6　…,◆未経験者：月給21万円以上＋賞与年2回 ◆経験者：月給26万円〜50万円＋賞与年2回 ※経験・スキルに応…,300万円～850万円
323,株式会社倉嶋自動車商会 | 【MAZDA Autozam 焼津】／地域密着×業績好調,"《ノルマなし！》アップル車検クラシマまたはMAZDA Autozamのショールームにて、お客様の""カーライフ""の提案をお任せします。",《未経験・第二新卒歓迎》高卒以上／普通自動車免許（AT不可）／基本PCスキル／車が好きな方は大歓迎です！プライベートも充実できる働きやすい環境！,マツダオートザム焼津／静岡県焼津市八楠4-3-1 アップル車検クラシマ／静岡県焼津市八楠4-9-1…,"月給222,000円以上 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3ヶ月あり（待遇に変…",320万円～400万円
324,株式会社川村インターナショナル | 英語力が活かせる／年休125日／コロナ禍でも安定経営！,【反響対応＆既存顧客フォロー中心！】 ◆多彩な翻訳・機械翻訳サービスのインサイドセールスをお任せ ◎万全の体制で長期的なキャリア形成をサポート,【業界・職種未経験OK！】 ★人物・意欲重視の採用 ◆大卒以上 ◆英語を活かして働きたい方◆PCスキル ◎土日祝休/残業月20H/福利厚生充実,【神楽坂駅から徒歩1分！】 東京都新宿区神楽坂6-42　神楽坂喜多川ビル6階,月給21万円〜25万円＋インセンティブ+賞与年2回 ※半期に一度、インセンティブ支給制度あり ※経験・能力…,340万円～700万円
325,株式会社ホワイトライン | 〈上場を目指し成長中！〉多くの方に愛されるマウスピース製造等,【経理・財務業務】バックオフィスから会社の成長を支える！ ■週休2日制 ■月給30万円以上,【経験者募集】身につけたスキルで理想のキャリアを実現！◆経理または財務の経験がある方 ◆簿記3級以上,◎駅から徒歩1分 東京都新宿区新宿1-5-13 溝呂木第1ビル4F,月給30万円〜40万円 + 各種手当 これまでの経験・スキルを考慮して決定します。 上記の金額には固定残業…,360万円～600万円
326,鶴ホーム株式会社 | 最大月給45万円＋明瞭なインセンティブ制度あり！完全反響営業,新築戸建・中古マンション等の販売・企画及び、用地仕入れ等をお任せします。,【ポテンシャル重視の採用】◎不動産売買の経験者 ◎要普通免許 ◎PC操作の基本スキルがある方 ◎意欲次第では、異業種での営業経験者も歓迎します！,【転勤はありません】 大阪府大阪市天王寺区六万体町4-19‐203 【アクセス】 大阪メトロ「四天…,月給23万円〜45万円＋インセンティブ ※経験を考慮して決定します ※入社後、6ヶ月間は契約社員となりま…,450万円～800万円
327,"株式会社エフ・アール・エス | 【新拠点も立上の成長企業】◆賞与＆歩合で年収1,000万超えOK！",弊社は独自の物件所有者様情報により、売主様から直に売却依頼を受けております。買主様は会社の代表や医師など富裕層がメイン★両手仲介で高収入可！,【攻めの姿勢を歓迎】◆大学、短大、専門卒以上◆WordやExcelなどのPCスキル★不動産の営業経験,当社各拠点【東京、福岡、大阪、札幌、名古屋】 ※希望を考慮し決定します。 ※転勤はありません。 ※…,【関東勤務】 月給:32万円〜50万円＋歩合給 ※みなし残業代（20時間分／5万円〜）を含む。 ※超過分は別…,500万円～1000万円
328,株式会社清光社 | 未経験OK/残業月10h以下/屋内中心/未経験でも多彩なキャリアパス,23区内のオフィスビルや羽田空港内を中心に、警備業務・設備管理をお任せします。★シフト制なので自分に合うライフスタイルを送れます！,学歴・経験不問★今だからこそ手に職をつけたい方★人物重視→元気に挨拶できる方★資格取得支援アリ★有資格者優遇★20～60代まで幅広い年代が活躍中,<<東京23区内or神奈川県のオフィスビル、または羽田空港内>> ※希望のエリアに配属 ※直行直帰…,月給20万円〜＋賞与年2回＋各種手当 ※ご経験・スキル等を考慮し、決定します。 【例】 経験5年で入社→…,250万円～450万円
329,株式会社メイプルリビングサービス | 設立28年★安定基盤で長く続けられる環境です！◆住宅手当あり,マンションの維持と快適な生活を守るため、運営・サポートをお任せします。理事会や総会の運営、建物の維持管理、マネジメントまで幅広く携われます！,【経験不問・年齢不問】◆高卒以上 ◎マンション管理の経験者・マネジメント経験者は優遇いたします！,★本社または日本橋支社での勤務です。 【本社】 東京都渋谷区道玄坂2-16-4 野村不動産渋谷道玄…,【未経験】月給21万円〜28万円 【経験者】月給28万円〜40万円 ※経験・能力を考慮して決定。 ※当初6ヵ月…,300万円～500万円
330,株式会社EnjoyLifeCompany | 九州電力グループ・株式会社QTnetのパートナー企業,【未経験でも充実研修で安心スタート】ハウスメーカーなど法人企業様や個人のお客様に対して、光インターネットサービスや格安スマホをご案内します,【未経験・第二新卒・今春新卒（専短大）歓迎！】学歴・経験・知識一切不問　★飲食店勤務などサービス業からの転身歓迎　★20～30代の若手活躍中！,本社（福岡市）もしくは鹿児島支社（鹿児島市） ※転居を伴う転勤はありません ※マイカー・バイク・自…,月給20万円〜45万円＋インセンティブ＋賞与年2回 ※経験・能力を考慮して決定いたします ※上記には月40…,
331,株式会社ビズアップ総研 | 大手会計事務所が母体★2000社超の導入実績★増収増益を実現,展示会やHPなどでお問い合わせいただいたお客様を中心に、独自開発した「eラーニング」研修・動画・セミナーなどを提案します。,【営業経験を活かして今よりも高収入・キャリアUPを実現したい方歓迎！年間200~300万円のインセンを獲得する先輩多数】★時短勤務や在宅勤務もOK！,【転勤なし】 ◆東京本社／東京都港区東新橋1-5-2 汐留シティセンター10F ◆首都圏（東京・神…,月給40万円〜＋インセンティブ（新規・既存企業どちらも対象に支給）＋賞与 ※【前職の給与以上を保証】…,600万円～1000万円
332,株式会社環境設備 | ＜業績好調＞賞与年4回／社用車1人1台／社宅用意可／WEB面接OK,＜ 頑張れば、頑張るほど、高収入を目指せる！＞ ◎家庭向けの合併浄化槽工事・リフォーム工事の提案　★1カ月程度で営業スキルを習得可能！,【 未経験者OK・「意欲」重視で採用！！】　◎営業・販売などの業務経験がある方は優遇（業界・就業年数不問）　◎学歴不問　◎年齢不問　◎要普免,＼UIターン歓迎／ ＼転勤なし／ ＼マイカー通勤OK／ ◇ 鹿児島県鹿屋市高須町1220-2（本社）,月給20万円〜 ＋ 歩合給 ＋ 諸手当 ＜モデル例＞ ★月収52万円／入社1年目 ※浄化槽工事は1件あたり70…,
333,株式会社逢慈 | 社用車は1人1台／有給は10日以上取得／大阪府緊急雇用対策に賛同,【飛び込み・テレアポ・ノルマなし！】◆お客先を訪問！葬儀後のアフターフォロー、返礼品などの提案を行います ◆多くの先輩が未経験からスタート！,【人柄重視の採用／学歴不問】◆未経験歓迎！応募は普通自動車免許(AT可)があればOK！◆お客様への気づかい、心配りができる方は大歓迎！,◎転勤なし！ 大阪府寝屋川市宝町27-39 ◎社用車は1人1台貸与 会社までの通勤利用もOK！ （…,月給21万円〜+諸手当+インセンティブ＋賞与(年2回) ※上記は最低保証金額です ※経験・能力を考慮の上、…,
334,有限会社中日本物流 | 自分専用トラック！／創業35年の安定企業／体力的負担が少ない！,【カゴ車中心だから負担少なめ！／近隣へのルート配送】無理のない運行スケジュールを組んでいます。お菓子などを1日3～4店舗に配達をお願いします。,【経験者優遇】中型免許必須（平成19年6月以前免許取得の方は普通免許でＯＫ）　 ◎大型免許／リフト免許所持者歓迎,【マイカー通勤OK／トラックの持ち込みもOKです】 愛知県小牧市河内屋新田480-1　センコー小牧…,月給：25万〜30万円＋諸手当 ※あなたの経験や年齢などを考慮し決定いたします。,
335,株式会社鶴電工業 | 大規模な発電所等の建設工事に携われる全国有数の企業です!!,【資格取得支援&丁寧な教育体制だから安心】◎大型風力発電所建設・特別高圧設備にかかわる業務のうち、電気設備工事 or 電気施工管理のいずれか。,【経験者・有資格者優遇】◎しっかり稼ぎたい、スキルUP・業務の幅を広げたい！…そんな方も大歓迎！急成長中の業界で活躍&成長していきませんか？！,◇本社 山形県酒田市広栄町2丁目1-3 ※マイカー通勤可能！無料駐車場有 ◇東京本部 東京都港区芝…,<経験者> 月給25万円〜40万円＋諸手当 <未経験者> 月給20万円〜＋諸手当 ※経験・年齢・資格を考慮の上…,300万円～500万円
